STATION,CBPSEG,cbpseg_st,LATITUDE,LONGITUDE,SUM,MEAN,COUNT,DistanceToNearestKm,Cell_ID
05M25,POCMH,POCMH_VA,37.895,-75.8009,0.013,0.001181818,11,1650.757378,3770
05M27,CB8PH,CB8PH_VA,36.9657,-76.2451,0.021,0.001166667,18,673.5789537,817
05M29,CB5MH,CB5MH_VA,37.6588,-76.2807,0.001,0.001,1,1253.805465,3065
05M30,CB7PH,CB7PH_VA,37.4594,-76.1361,0.09,0.004090909,22,1217.94065,2574
05M32,CB7PH,CB7PH_VA,37.1379,-76.1046,0.269,0.006113636,44,838.6849983,1827
05M33,CB6PH,CB6PH_VA,37.5807,-76.1376,0.028,0.001866667,15,399.0474858,2825
05R01,RPPMH,RPPMH_VA,37.573,-76.3645,0.029,0.002636364,11,2004.808869,2807
05R02,RPPMH,RPPMH_VA,37.6177,-76.3977,0.013,0.001083333,12,314.8091568,2888
05R03,RPPMH,RPPMH_VA,37.6371,-76.4467,0.025,0.001666667,15,1129.592958,2968
05R04,RPPMH,RPPMH_VA,37.6396,-76.4496,0.03,0.002142857,14,782.362156,2968
05R05,RPPMH,RPPMH_VA,37.6402,-76.5709,0.078,0.0052,15,978.8910387,2960
05R06,RPPMH,RPPMH_VA,37.6917,-76.5783,0.095,0.0059375,16,563.2461751,3127
05R07,RPPMH,RPPMH_VA,37.6975,-76.563,0.022,0.003142857,7,842.0691763,3212
05R09,RPPMH,RPPMH_VA,37.7518,-76.6109,0.042,0.0035,12,769.4666864,3461
05R10,RPPMH,RPPMH_VA,37.7674,-76.6381,0.038,0.003454545,11,413.9678282,3628
05R11,RPPMH,RPPMH_VA,37.7758,-76.6246,0.039,0.003545455,11,830.701921,3629
05R12,RPPMH,RPPMH_VA,37.7954,-76.6755,0.035,0.002692308,13,412.9785384,3794
05R13,RPPMH,RPPMH_VA,37.7992,-76.6868,0.039,0.003545455,11,780.8094564,3877
05R14,RPPMH,RPPMH_VA,37.815,-76.7284,0.057,0.0057,10,767.8498831,3959
05R15,RPPMH,RPPMH_VA,37.8228,-76.7252,0.191,0.014692308,13,880.4344001,4044
05R16,RPPMH,RPPMH_VA,37.8866,-76.7704,0.03,0.003333333,9,1050.87612,4461
05R17,RPPMH,RPPMH_VA,37.887,-76.7789,0.048,0.005333333,9,322.3997684,4461
05R18,RPPMH,RPPMH_VA,37.8998,-76.781,0.038,0.0038,10,315.1915856,4545
05R19,RPPMH,RPPMH_VA,37.9117,-76.8105,0.056,0.007,8,405.5076478,4628
05R20,RPPMH,RPPMH_VA,37.9255,-76.8145,0.04,0.005,8,1208.554559,4711
05R21,RPPOH,RPPOH_VA,38.0373,-76.9158,0.003,0.001,3,9942.287634,4962
05R22,RPPOH,RPPOH_VA,38.043,-76.9133,0.003,0.001,3,10381.34091,4962
05R23,RPPOH,RPPOH_VA,38.0776,-76.9422,0.012,0.0015,8,13724.58302,5891
05R24,RPPTF,RPPTF_VA,38.1055,-77.0406,0.042,0.004666667,9,15033.16133,5974
05R26,RPPMH,RPPMH_VA,37.92,-76.8354,0.03,0.003333333,9,735.3369215,4711
05R27,RPPMH,RPPMH_VA,37.6627,-76.5402,0.065,0.003823529,17,821.2186885,3046
05Y01,YRKPH,YRKPH_VA,37.2239,-76.4365,0.044,0.003142857,14,1080.830074,1716
05Y02,YRKPH,YRKPH_VA,37.2353,-76.4892,0.052,0.002888889,18,342.3365636,1713
05Y03,YRKPH,YRKPH_VA,37.2462,-76.4844,0.035,0.001944444,18,341.6872912,1797
05Y05,YRKPH,YRKPH_VA,37.2583,-76.4734,0.009,0.001125,8,1499.003566,1797
05Y06,YRKPH,YRKPH_VA,37.2815,-76.5248,0.017,0.001888889,9,1362.267028,1876
05Y07,YRKMH,YRKMH_VA,37.2929,-76.5973,0.044,0.002315789,19,431.6155593,1872
05Y09,YRKMH,YRKMH_VA,37.3128,-76.6187,0.028,0.002333333,12,1092.027043,1954
05Y10,YRKMH,YRKMH_VA,37.3213,-76.5865,0.039,0.0039,10,708.6861045,1956
05Y11,YRKMH,YRKMH_VA,37.3512,-76.6528,0.076,0.005066667,15,602.5822585,2035
05Y12,YRKMH,YRKMH_VA,37.361,-76.62,0.026,0.001857143,14,1534.043431,2037
05Y13,YRKMH,YRKMH_VA,37.3703,-76.6492,0.015,0.002142857,7,921.2856147,2119
05Y14,YRKMH,YRKMH_VA,37.4153,-76.6883,0.021,0.00175,12,583.858979,2200
05Y15,YRKMH,YRKMH_VA,37.4386,-76.73,0.149,0.010642857,14,1114.144214,2282
05Y16,YRKMH,YRKMH_VA,37.447,-76.6896,0.058,0.003411765,17,1517.825413,2283
05Y17,YRKMH,YRKMH_VA,37.4513,-76.6989,0.209,0.008708333,24,991.0705457,2283
05Y18,YRKMH,YRKMH_VA,37.4676,-76.7312,0.038,0.002714286,14,2130.815537,2282
05Y19,YRKMH,YRKMH_VA,37.4712,-76.7332,0.025,0.002272727,11,2552.081217,2282
05Y20,YRKMH,YRKMH_VA,37.5045,-76.768,0.075,0.00625,12,7135.701919,2282
05Y21,YRKMH,YRKMH_VA,37.5116,-76.7876,0.049,0.0030625,16,8747.266132,2282
05Y23,MPNTF,MPNTF_VA,37.6918,-76.9302,0.113,0.0113,10,21669.8715,3959
