SAMPLE_DATE,SUM,MEAN,COUNT
9/9/2011,0.3559,0.007908889,45
9/12/2011,0.8985,0.006327465,142
9/13/2011,0.62275,0.005987981,104
9/14/2011,0.10295,0.002859722,36
9/15/2011,0.208,0.002039216,102
9/16/2011,16.99197,0.548128065,31
9/17/2011,12.3112,0.113992593,108
9/19/2011,7.00735,0.155718889,45
9/20/2011,0.50704,0.00938963,54
9/22/2011,0.0574,0.005218182,11
7/16/2012,1.849,0.003942431,469
7/17/2012,0.216,0.00432,50
7/18/2012,0.2,0.002380952,84
7/25/2012,0.508,0.01016,50
7/30/2012,0.094,0.005875,16
8/6/2012,0.222,0.002810127,79
8/9/2012,1.9,0.01496063,127
8/17/2012,1.1753,0.0043369,271
8/21/2012,0.2562,0.002247368,114
8/22/2012,1.02765,0.002927778,351
8/23/2012,0.38262,0.002792847,137
8/27/2012,0.074,0.002176471,34
8/28/2012,0.08845,0.004913889,18
8/29/2012,1.54875,0.013237179,117
8/30/2012,0.64605,0.010420161,62
9/4/2012,0.0261,0.001305,20
9/5/2012,0.00135,0.000192857,7
9/7/2012,0.3979,0.005766667,69
9/11/2012,0.2829,0.004352308,65
9/12/2012,2.0041,0.036438182,55
9/14/2012,0.1075,0.003839286,28
9/16/2012,5.97258,0.1493145,40
9/17/2012,0.37745,0.004338506,87
9/20/2012,12.91413,0.101686063,127
9/25/2012,1.94182,0.080909167,24
9/27/2012,1.49655,0.166283333,9
7/16/2013,0.952,0.022666667,42
7/22/2013,2.569,0.006796296,378
7/23/2013,0.147,0.002130435,69
7/24/2013,0.07,0.002592593,27
7/30/2013,0.273,0.005934783,46
7/31/2013,0.389,0.003112,125
8/5/2013,0.525,0.0875,6
8/6/2013,0.051,0.0034,15
8/8/2013,0.849,0.022945946,37
8/13/2013,0.112,0.003862069,29
8/15/2013,0.141,0.002238095,63
8/20/2013,6.7794,0.040353571,168
8/21/2013,27.94013,0.310445889,90
8/22/2013,0.91955,0.010818235,85
8/26/2013,11.3093,0.045602016,248
8/27/2013,0.22925,0.007905172,29
8/29/2013,0.1352,0.006438095,21
8/30/2013,0.05625,0.005113636,11
9/3/2013,0.61515,0.016188158,38
9/4/2013,0.3141,0.006682979,47
9/6/2013,0.74691,0.033950455,22
9/9/2013,0.48805,0.009960204,49
9/10/2013,0.0701,0.004673333,15
9/11/2013,0.9426,0.004689552,201
9/12/2013,0.0326,0.004075,8
9/16/2013,0.163,0.00562069,29
9/18/2013,0.8655,0.005887755,147
9/19/2013,0.29375,0.002388211,123
9/20/2013,10.89357,0.160199559,68
9/24/2013,19.1343,0.134748592,142
9/25/2013,0.40325,0.01008125,40
9/26/2013,5.00E-05,5.00E-05,1
7/15/2014,0.491,0.004861386,101
7/23/2014,0.607,0.003891026,156
7/24/2014,7.54,0.183902439,41
7/29/2014,1.354,0.025074074,54
7/30/2014,0.327,0.003144231,104
7/31/2014,0.803,0.014339286,56
8/11/2014,2.529,0.005670404,446
8/12/2014,0.108,0.004,27
8/13/2014,0.913,0.004286385,213
8/14/2014,0.095,0.005588235,17
8/18/2014,0.817,0.012378788,66
8/19/2014,12.75405,0.089817254,142
8/20/2014,0.873,0.004570681,191
8/21/2014,0.1546,0.002810909,55
8/25/2014,6.72416,0.176951579,38
8/26/2014,0.91525,0.006355903,144
8/27/2014,1.00995,0.003899421,259
8/28/2014,0.0018,0.0006,3
8/29/2014,2.81955,0.038623973,73
9/2/2014,1.02435,0.020085294,51
9/3/2014,16.2336,0.386514286,42
9/4/2014,0.63445,0.007292529,87
9/5/2014,0.163,0.002810345,58
9/8/2014,1.5793,0.050945161,31
9/10/2014,2.44658,0.203881667,12
9/11/2014,0.2117,0.011142105,19
9/15/2014,0.1774,0.009855556,18
9/17/2014,0.2895,0.004320896,67
9/18/2014,1.2527,0.006022596,208
9/19/2014,6.13145,0.070476437,87
7/20/2015,0.469,0.002664773,176
