"STATION","CBPSEG","cbpseg_st","LATITUDE","LONGITUDE","SUM","MEAN","COUNT","CellID","DistanceToNearestKm","Replacement"
"05J04","JMSPH","JMSPH_VA",36.9771,-76.3147,0.033,0.00183333333333333,18,NA,601.560099734735,728
"05J05","JMSMH","JMSMH_VA",36.9831,-76.6226,0.03,0.00272727272727273,11,NA,7061.87696914356,541
"05J06","JMSPH","JMSPH_VA",36.9874,-76.3309,0.597,0.0138837209302326,43,NA,754.011060886804,727
"05J07","JMSMH","JMSMH_VA",36.9898,-76.6221,0.015,0.0015,10,NA,6431.76285043231,541
"05J08","JMSMH","JMSMH_VA",37.053,-76.6626,0.019,0.0038,5,NA,2434.38580140531,535
"05J09","JMSMH","JMSMH_VA",37.0692,-76.5343,0.139,0.0139,10,NA,796.219477689254,709
"05J10","JMSMH","JMSMH_VA",37.0764,-76.5291,0.04,0.00363636363636364,11,NA,677.019660943266,709
"05J11","JMSOH","JMSOH_VA",37.17,-76.7372,0.014,0.00155555555555556,9,NA,545.771563246192,693
"05J12","JMSOH","JMSOH_VA",37.1744,-76.6998,0.009,0.001,9,NA,922.972653978882,778
"05J13","JMSMH","JMSMH_VA",37.186,-76.6281,0.019,0.002375,8,NA,725.043442951823,950
"05J14","JMSOH","JMSOH_VA",37.2119,-76.6834,0.002,0.001,2,NA,295.18534079104,1030
"05J15","JMSOH","JMSOH_VA",37.2127,-76.8198,0.079,0.0079,10,NA,705.418801371044,771
"05J16","JMSOH","JMSOH_VA",37.2253,-76.8489,0.012,0.00171428571428571,7,NA,695.471396776085,770
"05J17","JMSOH","JMSOH_VA",37.227,-76.916,0.037,0.0037,10,NA,903.969832553136,599
"05J18","JMSOH","JMSOH_VA",37.2371,-76.8764,0.016,0.00133333333333333,12,NA,489.33400828476,768
"05J19","JMSTF","JMSTF_NATL",37.2374,-76.9623,1.22,0.0938461538461538,13,NA,445.443351328385,597
"05J20","JMSTF","JMSTF_NATL",37.273,-77.0591,0.052,0.0065,8,NA,9861.5721929889,597
"05J21","JMSTF","JMSTF_NATL",37.2752,-76.9873,0.064,0.008,8,NA,5179.50150427546,597
"05J23","JMSTF","JMSTF_NATL",37.3025,-77.1035,0.022,0.0022,10,NA,14881.2448152311,597
"05J24","JMSTF","JMSTF_NATL",37.3096,-77.1809,0.016,0.00145454545454545,11,NA,21379.420446133,597
"05J26","JMSMH","JMSMH_VA",37.0196,-76.526,0.103,0.0064375,16,NA,1012.20268464693,545
"05J27","JMSOH","JMSOH_VA",37.1656,-76.7367,0.014,0.00233333333333333,6,NA,102.200739793889,693
"05J28","JMSMH","JMSMH_VA",37.0995,-76.6512,0.155,0.0172222222222222,9,NA,369.602886195857,617
"05J29","JMSPH","JMSPH_VA",36.9767,-76.3389,0.048,0.00228571428571429,21,NA,744.669939132512,727
"05M01","CB8PH","CB8PH_VA",37.0079,-76.1315,0.135,0.00642857142857143,21,NA,603.350490549619,1073
"05M02","CB8PH","CB8PH_VA",37.0501,-76.2801,0.041,0.00170833333333333,24,NA,949.422721452485,979
"05M03","CB7PH","CB7PH_VA",37.083,-75.9894,0.036,0.00225,16,NA,1163.90745399158,1748
"05M04","CB7PH","CB7PH_VA",37.1788,-75.9976,0.055,0.00183333333333333,30,NA,2089.19058911154,1999
"05M05","CB7PH","CB7PH_VA",37.2756,-76.1061,0.079,0.00239393939393939,33,NA,1669.11022836323,2159
"05M07","CB7PH","CB7PH_VA",37.3087,-76.0467,0.051,0.002125,24,NA,2222.11149848214,2246
"05M09","MOBPH","MOBPH_VA",37.3954,-76.3273,0.036,0.00327272727272727,11,NA,5698.74175701246,2223
"05M10","CB6PH","CB6PH_VA",37.4237,-76.1978,0.026,0.00136842105263158,19,NA,1346.97897273016,2485
"05M12","CB7PH","CB7PH_VA",37.456,-76.039,0.111,0.002775,40,NA,784.456880529211,2581
"05M13","CB6PH","CB6PH_VA",37.5308,-76.1828,0.043,0.00252941176470588,17,NA,1984.86041326928,2653
"05M14","CB7PH","CB7PH_VA",37.5384,-75.9822,0.061,0.00217857142857143,28,NA,775.492226079653,2753
"05M15","CB5MH","CB5MH_VA",37.6658,-76.2401,0.003,0.001,3,NA,741.250776705076,3069
"05M16","CB7PH","CB7PH_VA",37.7293,-75.8862,0.053,0.00252380952380952,21,NA,1299.99823677266,3178
"05M18","CB5MH","CB5MH_VA",37.7955,-76.1766,0.005,0.001,5,NA,557.76347108207,3580
"05M19","CB5MH","CB5MH_VA",37.8187,-76.164,0.024,0.00171428571428571,14,NA,644.054579162805,3750
"05M21","CB5MH","CB5MH_VA",37.8384,-76.2106,0.018,0.00163636363636364,11,NA,342.253144891284,3830
"05M22","TANMH","TANMH_VA",37.8546,-75.9065,0.036,0.00211764705882353,17,NA,962.588343155544,3767
"05M23","TANMH","TANMH_VA",37.8776,-76.0466,0.018,0.00138461538461538,13,NA,215.104020360946,3929
"05M25","POCMH","POCMH_VA",37.895,-75.8009,0.013,0.00118181818181818,11,NA,1650.757378121,3770
"05M27","CB8PH","CB8PH_VA",36.9657,-76.2451,0.021,0.00116666666666667,18,NA,673.578953709043,817
"05M29","CB5MH","CB5MH_VA",37.6588,-76.2807,0.001,0.001,1,NA,1253.80546463667,3065
"05M30","CB7PH","CB7PH_VA",37.4594,-76.1361,0.09,0.00409090909090909,22,NA,1217.94065008891,2574
"05M32","CB7PH","CB7PH_VA",37.1379,-76.1046,0.269,0.00611363636363636,44,NA,838.684998261041,1827
"05M33","CB6PH","CB6PH_VA",37.5807,-76.1376,0.028,0.00186666666666667,15,NA,399.047485753219,2825
"05R01","RPPMH","RPPMH_VA",37.573,-76.3645,0.029,0.00263636363636364,11,NA,2004.8088693292,2807
"05R02","RPPMH","RPPMH_VA",37.6177,-76.3977,0.013,0.00108333333333333,12,NA,314.809156778883,2888
