LBL,Aggregate_grp,Aggregate_grp2,Func_grp,General_grouping,              Family,             Order ,Class ,TSN,NODC_CODE
donax variabilis,other_bivalves,Small_bivalve,bivalves,bivalve,Donacidae,Cardiida,Bivalvia         ,,
Gemma gemma,other_bivalves,Small_bivalve,bivalves,bivalve,Venerida   ,Veneroida  ,Bivalvia         ,81511,
Lyonsia hyalina,other_bivalves,Small_bivalve,bivalves,bivalve,Lyonsiidae   ,Pholadomyoida,Bivalvia         ,81926,
Mulinia lateralis,other_bivalves,Small_bivalve,bivalves,bivalve,Mactridae  ,Veneroida  ,Bivalvia         ,80959,
Musculium spp.,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,Veneroida  ,Bivalvia         ,#N/A,
Musculium transversum,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,Veneroida  ,Bivalvia         ,81428,
Mysella planulata,other_bivalves,Small_bivalve,bivalves,bivalve,Montacutidae,Veneroida  ,Bivalvia         ,80661,
Mytilopsis leucophaeata,other_bivalves,Small_bivalve,bivalves,bivalve,Dreissenidae,Veneroida  ,Bivalvia         ,81335,
Nucula proxima,other_bivalves,Small_bivalve,bivalves,bivalve,Nuculidae  ,Nuculida ,Bivalvia         ,79132,
Nuculana messanensis,other_bivalves,Small_bivalve,bivalves,bivalve,Nuculanidae ,Nuculoida ,Bivalvia         ,79212,
Nuculana spp.,other_bivalves,Small_bivalve,bivalves,bivalve,Nuculanidae ,Nuculoida ,Bivalvia         ,#N/A,
Pandora gouldiana,other_bivalves,Small_bivalve,bivalves,bivalve,Pandoridae,Pholadomyoida,Bivalvia         ,81896,
Pandora trilineata,other_bivalves,Small_bivalve,bivalves,bivalve,Pandoridae,Pholadomyoida,Bivalvia         ,81895,
Parvilucina crenella,other_bivalves,Small_bivalve,bivalves,bivalve,Lucinidae  ,Lucinida  ,Bivalvia         ,80390,
Periploma spp.,other_bivalves,Small_bivalve,bivalves,bivalve,Perplomatidae ,Pholadomyoida,Bivalvia         ,#N/A,
pisidium compressum,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,veneroida  ,Bivalvia         ,,
