"LBL","Aggregate_grp","Aggregate_grp2","Func_grp","General_grouping","Family","Order","Class","TSN","NODC_CODE"
"cyclaspis varians",NA,"small_crust","small_crust","cumacean","Bodotriidae","Cumacea","Malacostraca","91033",NA
"cylichnella bidentata",NA,"gastropod","Gastropods","gastropod","Cylichnidae","Cephalaspidea","Gastropoda","76141",NA
"cymadusa compta","amphipods_isopods","amphipods","small_crust","amphipod","Ampithoidae","Amphipoda","Malacostraca",NA,NA
"cyrnellus fraternus","insect","insect","insect","insect","Polycentropodidae","Trichoptera","Insecta",NA,NA
"cyrnellus spp.","insect","insect","insect","insect","Polycentropodidae","Trichoptera","Insecta",NA,NA
"cyrtopleura costata","other_bivalves","Large_bivalve","bivalves","bivalve","Pholadidae","Myoida","Bivalvia","81796",NA
"decapoda",NA,NA,NA,"decapod",NA,"Decapoda","Malacostraca","95599",NA
"demonax microphthalmus","polychaete","polychaete","worms","polychaete","Sabellidae","Canalipalpata","Polychaeta","68222",NA
"dero spp.",NA,"oligocheate","worms","oligocheate","Naididae","Tubificida","Oligochaeta",NA,NA
"diadumene leucolena",NA,NA,NA,"cnidaria","Diadumenidae","Actiniaria","Anthozoa","52749",NA
"diastylis polita","cumacean","small_crust","small_crust","cumacean","Diastylidae","Cumacea","Malacostraca",NA,NA
"dicrotendipes neomodestus",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta","129452",NA
"dicrotendipes nervosus",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta","129452",NA
"dicrotendipes spp.",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta",NA,NA
"diopatra cuprea","polychaete","polychaete","worms","polychaete","Onuphidae","Eunicida","Polychaeta","66180",NA
"dipolydora caulleryi","polychaete","polychaete","worms","polychaete","Spionidae","Spionida","Polychaeta",NA,NA
"dipolydora commensalis","polychaete","polychaete","worms","polychaete","Spionidae","Spionida","Polychaeta",NA,NA
"dipolydora quadrilobata","polychaete","polychaete","worms","polychaete","Spionidae","Spionida","Polychaeta",NA,NA
"dipolydora socialis","polychaete","polychaete","worms","polychaete","Spionidae","Spionida","Polychaeta",NA,NA
"donax variabilis","other_bivalves","Small_bivalve","bivalves","bivalve","Donacidae","Cardiida","Bivalvia",NA,NA
"doridella obscura",NA,"gastropod","Gastropods","nudibranch","Corambidae","Nudibranchia","Gastropoda","78439",NA
"dorvillea rudolphi","polychaete","polychaete","worms","polychaete","Dorvilleidae","Eunicida","Polychaeta","66525",NA
"dosinia discus","other_bivalves","Large_bivalve","bivalves","bivalve","Venerida","Veneroida","Bivalvia","81489",NA
"drilonereis longa","polychaete","polychaete","worms","polychaete","Oenonidae","Eunicida","Polychaeta","66426",NA
"drilonereis magna","polychaete","polychaete","worms","polychaete","Oenonidae","Eunicida","Polychaeta","66431",NA
"drilonereis spp.","polychaete","polychaete","worms","polychaete","Oenonidae","Eunicida","Polychaeta",NA,NA
"dromogomphus armatus",NA,NA,"insect","insect","Gomphidae","odonata","Insecta","101731",NA
"dubiraphia spp.",NA,NA,"insect","insect","Elmidae","Coleoptera","Insecta",NA,NA
"dugesia spp.",NA,NA,NA,"platyhelminth","Dugesiidae","Tricladida","Rhabditophora",NA,NA
"dugesia tigrina",NA,NA,NA,"platyhelminth","Dugesiidae","Tricladida","Rhabditophora",NA,NA
"dulichiella appendiculata","amphipods_isopods","amphipods","small_crust","amphipod","Melitidae","Amphipoda","Malacostraca",NA,NA
"dyspanopeus sayi",NA,"large_decapod","decapod_crab","decapod_crab","Panopeidae","Decapoda","Malacostraca","98901",NA
"echinoidea",NA,NA,NA,"echinoderm",NA,NA,NA,"157821",NA
"echiura",NA,NA,"worms","worm_annelid",NA,"Echiura","Polychaeta","154972",NA
"edotea triloba","amphipods_isopods","isopods","small_crust","isopod","Idoteidae","Isopoda","Malacostraca","92627",NA
"edwardsia elegans",NA,NA,NA,"cnidaria","Edwardsiidae","Actiniaria","Anthozoa","52489",NA
"elasmopus laevis","amphipods_isopods","amphipods","small_crust","amphipod","Maeridae","Amphipoda","Malacostraca","93761",NA
"elliptio complanata","other_bivalves","Large_bivalve","bivalves","bivalve","Unionidae","Unionoida","Bivalvia","79952",NA
"elmidae",NA,NA,"insect","insect","Elmidae","Coleoptera","Insecta","114093",NA
"empididae","insect","chironomid","insect","insect","Empididae","Diptera","Insecta",NA,NA
"enallagma spp.",NA,NA,"insect","insect","Coenagriionidae","odonata","Insecta",NA,NA
"enchytraeidae",NA,"oligocheate","worms","oligocheate","Enchytraeidae","Tubificida","Oligochaeta","68510",NA
"ensis directus","Razor_clams","Large_bivalve","bivalves","bivalve","Pharidae","Adapedonta","Bivalvia","81022",NA
"eobrolgus spinosus","amphipods_isopods","amphipods","small_crust","amphipod","Phoxocephallidae","Amphipoda","Malacostraca",NA,NA
"ephemeroptera","insect","insect","insect","insect",NA,"Ephemeroptera","Insecta",NA,NA
"epitonium multistriatum",NA,"gastropod","Gastropods","gastropod","Epitoniidae","Caenongastropoda","Gastropoda","72247",NA
"epitonium rupicola",NA,"gastropod","Gastropods","gastropod","Epitoniidae","Caenongastropoda","Gastropoda","72249",NA
"epitonium spp.",NA,"gastropod","Gastropods","gastropod","Epitoniidae","Caenongastropoda","Gastropoda",NA,NA
"epoicocladius spp.",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta",NA,NA
"erichsonella attenuata","amphipods_isopods","isopods","small_crust","isopod","Idoteidae","Isopoda","Malacostraca","92618",NA
"erichsonella filiformis","amphipods_isopods","isopods","small_crust","isopod","Idoteidae","Isopoda","Malacostraca","92619",NA
"ericthonius brasiliensi","amphipods_isopods","amphipods","small_crust","amphipod","Ischyroceridae","Amphipoda","Malacostraca",NA,NA
"ericthonius brasiliensis","amphipods_isopods","amphipods","small_crust","amphipod","Ischyroceridae","Amphipoda","Malacostraca",NA,NA
"eteone foliosa","polychaete","polychaete","worms","polychaete","Phyllodocidae","Phyllodocida","Polychaeta","65270",NA
"eteone heteropoda","polychaete","polychaete","worms","polychaete","Phyllodocidae","Phyllodocida","Polychaeta","65266",NA
"eteone lactea","polychaete","polychaete","worms","polychaete","Phyllodocidae","Phyllodocida","Polychaeta","65267",NA
"eteone longa","polychaete","polychaete","worms","polychaete","Phyllodocidae","Phyllodocida","Polychaeta",NA,NA
"euceramus praelongus",NA,"large_decapod","decapod_crab","decapod_crab","Porcellanidae","Decapoda","Malacostraca","98081",NA
"euclymene zonalis","polychaete","polychaete","worms","polychaete","Maldanidae","Scolecida","Polychaeta","67586",NA
"eumida sanguinea","polychaete","polychaete","worms","polychaete","Phyllodocidae","Phyllodocida","Polychaeta",NA,NA
"eunicea spp.",NA,NA,NA,"cnidaria","Plexauridae","Alcyonacea","Anthozoa",NA,NA
"euplana gracilis",NA,NA,"worms","flatworm","Euplanidae","Polycladida","Rhabditophora","54139",NA
"eurypanopeus depressus",NA,"large_decapod","decapod_crab","decapod_crab","Panopeidae","Decapoda","Malacostraca","98759",NA
"exogone dispar","polychaete","polychaete","worms","polychaete","Syllidae","Phyllodocida","Polychaeta","65722",NA
"exosphaeroma spp.","amphipods_isopods","isopods","small_crust","isopod","Sphaeromatidae","Isopoda","Malacostraca",NA,NA
